src_ip,dst_ip,Source Port,Destination Port,Protocol,Flow Duration,Total Packets,Total Length of Packets,Packet Length Max,Packet Length Min,Packet Length Mean,Packet Length Std,Label
10.0.0.1,172.16.0.1,53329,6001,6,0.002,5,294,66,54,58.8,6.57267069,RST-ACK Flood
10.0.0.4,172.16.0.1,47240,6001,6,0.002,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.13,172.16.0.1,45079,6001,6,0.043,3,162,54,54,54,0,RST-ACK Flood
10.0.0.2,172.16.0.1,48778,6001,6,0.078,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.12,172.16.0.1,26130,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.14,172.16.0.1,48260,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.8,172.16.0.2,10792,443,6,0,1,54,54,54,54,0,RST Flood
10.0.0.1,172.16.0.1,53330,6001,6,0.057,5,294,66,54,58.8,6.57267069,RST-ACK Flood
10.0.0.4,172.16.0.1,47242,6001,6,0.003,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.5,172.16.0.1,45992,6001,6,0.002,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.14,172.16.0.1,48262,6001,6,0.047,3,162,54,54,54,0,RST-ACK Flood
10.0.0.13,172.16.0.1,45081,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.2,172.16.0.1,48780,6001,6,0.018,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.17,172.16.0.1,52786,6001,6,0.02,3,162,54,54,54,0,RST-ACK Flood
10.0.0.4,172.16.0.1,47244,6001,6,0.019,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.14,172.16.0.1,48264,6001,6,0.005,3,162,54,54,54,0,RST-ACK Flood
10.0.0.1,172.16.0.1,53331,6001,6,0.102,5,294,66,54,58.8,6.57267069,RST-ACK Flood
10.0.0.16,172.16.0.1,36960,6001,6,0.005,3,162,54,54,54,0,RST-ACK Flood
10.0.0.25,172.16.0.2,15543,443,6,7.876,2,132,78,54,66,16.97056275,SYN Flood
10.0.0.4,172.16.0.1,47246,6001,6,0.13,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.1,172.16.0.1,53332,6001,6,0.038,5,294,66,54,58.8,6.57267069,RST-ACK Flood
10.0.0.2,172.16.0.1,48782,6001,6,0.015,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.14,172.16.0.1,48266,6001,6,0.021,3,162,54,54,54,0,RST-ACK Flood
10.0.0.19,172.16.0.1,39999,6001,6,0.065,3,162,54,54,54,0,RST-ACK Flood
10.0.0.3,172.16.0.1,36566,6001,6,0.003,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.13,172.16.0.1,45083,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.2,172.16.0.1,48784,6001,6,0.061,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.10,172.16.0.1,56348,6001,6,0.042,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.1,172.16.0.1,53333,6001,6,0.016,5,294,66,54,58.8,6.57267069,RST-ACK Flood
10.0.0.14,172.16.0.1,48268,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.13,172.16.0.1,45085,6001,6,0.002,3,162,54,54,54,0,RST-ACK Flood
10.0.0.4,172.16.0.1,47248,6001,6,0.003,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.17,172.16.0.1,52788,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.2,172.16.0.1,48786,6001,6,0.005,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.14,172.16.0.1,48270,6001,6,0.016,3,162,54,54,54,0,RST-ACK Flood
10.0.0.1,172.16.0.1,53334,6001,6,0.002,5,294,66,54,58.8,6.57267069,RST-ACK Flood
10.0.0.16,172.16.0.1,36962,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.12,172.16.0.1,26131,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.4,172.16.0.1,47250,6001,6,0.1,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.13,172.16.0.1,45087,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.2,172.16.0.1,48788,6001,6,0.002,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.1,172.16.0.1,53335,6001,6,0.04,5,294,66,54,58.8,6.57267069,RST-ACK Flood
10.0.0.21,172.16.0.1,60808,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.26,172.16.0.1,57308,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.27,172.16.0.1,48592,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.28,172.16.0.1,50918,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.29,172.16.0.1,42298,6001,6,0.143,3,162,54,54,54,0,RST-ACK Flood
10.0.0.30,172.16.0.1,50750,6001,6,0.143,3,162,54,54,54,0,RST-ACK Flood
10.0.0.5,172.16.0.1,45993,6001,6,0.539,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.31,172.16.0.2,33992,443,6,15.108,2,128,74,54,64,14.14213562,SYN Flood
10.0.0.16,172.16.0.1,36964,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.14,172.16.0.1,48272,6001,6,0.015,3,162,54,54,54,0,RST-ACK Flood
10.0.0.32,172.16.0.1,46954,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.33,172.16.0.1,56411,6001,6,0.041,3,162,54,54,54,0,RST-ACK Flood
10.0.0.34,172.16.0.1,48142,6001,6,0.022,3,162,54,54,54,0,RST-ACK Flood
10.0.0.35,172.16.0.1,53596,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.35,172.16.0.1,53594,6001,6,0.28,3,162,54,54,54,0,RST-ACK Flood
10.0.0.36,172.16.0.1,46690,6001,6,0.002,3,162,54,54,54,0,RST-ACK Flood
10.0.0.37,172.16.0.1,51290,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.38,172.16.0.1,45894,6001,6,0.078,3,162,54,54,54,0,RST-ACK Flood
10.0.0.39,172.16.0.1,56549,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.40,172.16.0.1,59133,6001,6,0.008,3,162,54,54,54,0,RST-ACK Flood
10.0.0.41,172.16.0.1,60676,6001,6,0.043,3,162,54,54,54,0,RST-ACK Flood
10.0.0.42,172.16.0.1,37164,6001,6,0.002,3,162,54,54,54,0,RST-ACK Flood
10.0.0.43,172.16.0.1,57370,6001,6,0.002,3,162,54,54,54,0,RST-ACK Flood
10.0.0.27,172.16.0.1,48594,6001,6,0.022,3,162,54,54,54,0,RST-ACK Flood
10.0.0.44,172.16.0.2,52370,443,6,0,1,54,54,54,54,0,RST Flood
10.0.0.22,172.16.0.1,52313,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.2,172.16.0.1,48790,6001,6,0.01,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.1,172.16.0.1,53336,6001,6,0.445,5,294,66,54,58.8,6.57267069,RST-ACK Flood
10.0.0.14,172.16.0.1,48274,6001,6,0.002,3,162,54,54,54,0,RST-ACK Flood
10.0.0.4,172.16.0.1,47252,6001,6,0.023,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.45,172.16.0.1,50298,6001,6,0.011,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.46,172.16.0.1,39826,6001,6,0.002,3,162,54,54,54,0,RST-ACK Flood
10.0.0.47,172.16.0.1,48306,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.48,172.16.0.1,56590,6001,6,0.162,3,162,54,54,54,0,RST-ACK Flood
10.0.0.13,172.16.0.1,45089,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.19,172.16.0.1,40000,6001,6,0.015,3,162,54,54,54,0,RST-ACK Flood
10.0.0.17,172.16.0.1,52790,6001,6,0.009,3,162,54,54,54,0,RST-ACK Flood
10.0.0.49,172.16.0.1,58450,6001,6,0.008,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.50,172.16.0.1,35030,6001,6,0.042,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.51,172.16.0.1,55572,6001,6,0.103,3,162,54,54,54,0,RST-ACK Flood
10.0.0.52,172.16.0.1,34890,6001,6,0.046,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.53,172.16.0.1,46748,6001,6,0.003,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.54,172.16.0.1,52860,6001,6,3.578,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.55,172.16.0.1,43066,6001,6,3.575,3,162,54,54,54,0,RST-ACK Flood
10.0.0.9,172.16.0.4,17296,8080,17,48.065,32,37350,1328,82,1167.1875,353.7385072,UDP Flood
10.0.0.56,172.16.0.1,36494,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.46,172.16.0.1,39828,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.57,172.16.0.1,44618,6001,6,0.002,3,162,54,54,54,0,RST-ACK Flood
10.0.0.58,172.16.0.1,60072,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.37,172.16.0.1,51292,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.59,172.16.0.1,38190,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.37,172.16.0.1,51294,6001,6,1.253,3,162,54,54,54,0,RST-ACK Flood
10.0.0.60,172.16.0.1,47198,6001,6,1.425,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.61,172.16.0.1,23220,6001,6,0.06,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.62,172.16.0.1,34706,6001,6,0.115,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.39,172.16.0.1,56550,6001,6,0.061,3,162,54,54,54,0,RST-ACK Flood
10.0.0.63,172.16.0.1,36464,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.3,172.16.0.1,36568,6001,6,0.601,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.14,172.16.0.1,48276,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.30,172.16.0.1,50751,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.64,172.16.0.1,37908,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.29,172.16.0.1,42299,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.35,172.16.0.1,53598,6001,6,0.024,3,162,54,54,54,0,RST-ACK Flood
10.0.0.65,172.16.0.1,40194,6001,6,0.017,5,310,74,54,62,10.95445115,RST-ACK Flood
10.0.0.48,172.16.0.1,56592,6001,6,0.002,3,162,54,54,54,0,RST-ACK Flood
10.0.0.46,172.16.0.1,39830,6001,6,0,3,162,54,54,54,0,RST-ACK Flood
10.0.0.30,172.16.0.1,50752,6001,6,0.053,3,162,54,54,54,0,RST-ACK Flood
10.0.0.27,172.16.0.1,48596,6001,6,0.062,3,162,54,54,54,0,RST-ACK Flood
10.0.0.34,172.16.0.1,48144,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.64,172.16.0.1,37910,6001,6,0.001,3,162,54,54,54,0,RST-ACK Flood
10.0.0.35,172.16.0.1,53600,6001,6,3.435,3,162,54,54,54,0,RST-ACK Flood
10.0.0.1,172.16.0.1,53337,6001,6,0.374,5,294,66,54,58.8,6.57267069,RST-ACK Flood
10.0.0.2,172.16.0.1,48792,6001,6,0.059,5,310,74,54,62,10.95445115,RST-ACK Flood
